Employee ID,First Name,Last Name,Age,Gender,DOB,Date Joined,Date Resigned,Department,Salary,Performance level
1,Cynthia,Gomez,48,F,5/8/2010,12/15/2021,5/21/2024,Operations,184016,Below
2,Ryan,Blair,116,M,7/2/1908,12/2/2023,6/26/2028,Sales,101159,Exceeds
3,John,Russo,69,F,9/12/2021,11/2/2023,6/29/2027,Marketing,52625,Outstanding
4,Donald,Salinas,52,F,12/12/2016,10/30/2023,10/20/2026,Sales,90758,Meets
5,James,Lee,70,F,8/8/2011,12/21/2022,8/21/2025,IT,193481,Meets
6,Anna,Frost,56,F,NULL,1/13/2022,5/14/2024,Marketing,132763,Meets
7,Theresa,Morgan,46,M,2/19/1967,12/2/2023,12/11/2024,Sales,3449,Exceeds
8,Shawn,Johnston,41,F,9/25/1995,12/7/2021,2/14/2023,Operations,81011,Needs Improvement
9,Connie,Smith,36,Decline to comment,12/29/1959,11/8/2022,2/22/2025,IT,8662,Needs Improvement
10,Ashley,Smith,53,F,11/20/1991,2/9/2021,10/5/2021,Operations,69801,Meets
11,Alexis,Hall ,18,M,4/9/1955,8/3/2023,1/16/2024,Finance,87570,Below
12,Shannon,Meyer,46,F,10/6/1951,9/3/2020,5/20/2024,Sales,34677,Below
13,Amber,Wood,30,F,NULL,12/2/2023,7/31/2027,Engineering,97891,Needs Improvement
14,Cheyenne,Taylor ,49,M,1/25/1999,10/20/2022,7/29/2023,Customer Service,45799,Below
15,Jordan,Kramer,53,Decline to comment,6/14/1958,3/7/2021,10/21/2023,Sales,95163,Meets
16,Connie,Giles,45,F,2/6/1948,12/26/2022,9/12/2026,Operations,102793,Below
17,Rachel ,Davies,20,M,6/8/1993,12/2/2023,1/1/2025,IT,51187,Needs Improvement
18,Jacob,Terri,49,M,NULL,5/14/2020,11/2/2023,Finance,159160,Exceeds
19,Michael,Garcia,28,M,NULL,2/3/2023,8/13/2024,Finance,153802,Meets
20,Jamie,Sims,65,M,1/27/1939,2/3/2022,7/12/2022,Marketing,79379,Meets
21,Michael ,King ,32,M,5/17/1960,7/25/2023,3/13/2027,IT,103370,Below
22,Lauren,Sheppard,23,M,10/16/1922,8/19/2020,6/11/2023,IT,103820,Meets
23,Brooke,Foster,40,M,11/16/2009,3/30/2021,6/1/2024,Customer Service,95097,Needs Improvement
24,Stephen,Oliver,62,M,2/6/1955,5/14/2020,1/13/2022,Engineering,34105,Exceeds
25,Karina ,Kim ,44,F,6/12/1994,10/12/2022,5/18/2025,IT,35069,Meets
26,Stephanie,Martinez,24,F,8/4/1992,2/13/2022,7/27/2024,Marketing,141568,Needs Improvement
27,Julie,Henderson,69,M,8/28/1943,4/30/2020,4/27/2021,IT,194702,Exceeds
28,Matthew,Jones,65,M,5/6/1966,1/16/2023,9/23/2026,Customer Service,153935,Exceeds
29,Katie ,Jones ,93,F,1/3/1931,8/8/2023,1/22/2026,Finance,153950,Exceeds
30,King,Smith,22,F,9/18/1926,11/19/2020,10/10/2024,Engineering,54866,Exceeds
31,Joshua,Taylor,20,M,11/29/2004,8/21/2020,2/22/2023,Operations,146611,Needs Improvement
32,Leah,Timothy,58,F,7/27/1975,5/16/2023,8/12/2026,Operations,144333,Meets
33,Ashley ,Brock,22,M,12/4/1936,9/23/2020,8/13/2022,Engineering,62101,Exceeds
34,Michael,Lopez,41,M,8/24/1923,12/2/2023,7/23/2026,Marketing,166910,Outstanding
35,Edward ,Dunn,63,M,4/28/1949,12/2/2023,12/15/2025,Operations,112906,Outstanding
36,Jodi,Lamb,57,F,12/27/1959,1/20/2023,7/14/2026,Customer Service,78523,Meets
37,Robert,Mcdonald,22,M,8/9/1998,10/26/2023,2/3/2024,Finance,10296,Below
38,Jeffrey,Kim,45,F,7/31/1945,1/10/2022,3/13/2024,Engineering,129361,Exceeds
39,Stephanie,Francis,48,Decline to comment,2/24/1976,9/17/2022,1/16/2025,Finance,177965,Exceeds
40,Alexis,Parker,57,F,7/22/1967,4/23/2021,4/17/2025,Marketing,127234,Meets
41,Wells,Ross,52,M,NULL,8/25/2023,1/14/2025,Operations,194386,Meets
42,Michele,Mills,30,M,7/28/1937,10/31/2021,5/28/2024,Finance,189561,Outstanding
43,Anna,Smith,32,F,2/9/1979,11/23/2021,4/22/2024,IT,96436,Meets
44,Curtis,Bell ,20,M,8/20/1939,2/9/2020,1/14/2023,Sales,191826,Below
45,Jeffrey,Mccoy,42,F,10/9/1940,12/2/2023,3/1/2026,Customer Service,121092,Exceeds
46,Courtney,Johnston,58,F,2/9/1924,9/27/2020,6/4/2022,Finance,4117,Needs Improvement
47,Sara,Mendez,50,F,11/10/1974,10/22/2023,7/2/2027,HR,7780,Outstanding
48,Mercedes ,Henry,46,F,6/1/1967,8/18/2021,5/9/2022,Marketing,183038,Meets
49,Diane,Chandler,22,Decline to comment,2/18/2002,7/19/2021,12/3/2024,Customer Service,50006,Outstanding
50,Megan,Peters,24,M,10/5/1973,5/2/2021,5/1/2025,Operations,199538,Exceeds
51,Cory,Tucker ,55,M,5/30/1952,11/25/2021,6/7/2024,HR,88393,Outstanding
52,Brian,Olson,18,F,4/13/1916,5/15/2020,3/15/2022,Sales,96461,Below
