Employee ID,First Name,Last Name,Age,Gender,DOB,Date Joined,Date Resigned,Department,Salary,Performance level
1,Cynthia, gomez,48,Woman,8-May-10,12/15/2021,5/21/2024,Operation,184016,1
2,Ryan,Blair,116,Man,7/2/1908,12/2/2023,6/26/2028,Sales,101159,Exceeds
3,John,Russo,69,F,12-Sep-21,11/2/2023,6/29/2027,Marketing,52625,Outstanding
4,Donald,Salinas,52,Girl,12/12/2016,10/30/2023,10/20/2026,Sales,90758,Meets
5,James,Lee,70,Woman,8-Aug-11,12/21/2022,8/21/2025,IT,193481,3
6,Anna,Frost,56,Woman,NULL,1/13/2022,5/14/2024,Marketing,132763,3
7,Theresa, morgan,46,Boy,2/19/1967,12/2/2023,12/11/2024,Sale,3449,Exceeds
8,Shawn,Johnston,41,Woman,25-Sep-95,12/7/2021,2/14/2023,Operations,81011,2
9,Connie,Smith,36,Decline to comment,29-Dec-59,11/8/2022,2/22/2025,IT,8662,2
10,Ashley,Smith,53,Woman,11/20/1991,2/9/2021,10/5/2021,Operations,69801,Meets
11,Alexis,hall ,18,M,9-Apr-55,8/3/2023,1/16/2024,Finance,87570,1
12, Shannon,Meyer,46,Woman,10/6/1951,9/3/2020,5/20/2024,Sales,34677,Below
13,Amber,Wood,30,F,NULL,12/2/2023,7/31/2027,Engineering,97891,2
14,Cheyenne,taylor ,49,Boy,1/25/1999,10/20/2022,7/29/2023,Customer Service,45799,1
15,Jordan,Kramer,53,Decline to comment,14-Jun-58,3/7/2021,10/21/2023,Sales,95163,Meets
16, Connie,Giles,45,Woman,6-Feb-48,12/26/2022,9/12/2026,Operations,102793,1
17,rachel ,Davies,20,Boy,6/8/1993,12/2/2023,1/1/2025,IT,51187,Needs Improvement
18,Jacob Terri,,49,Boy,NULL,5/14/2020,11/2/2023,Finance,159160,4
19,Michael,Garcia,28,Boy,NULL,2/3/2023,8/13/2024,Finance,153802,Meets
20,Jamie,Sims,65,Boy,1/27/1939,2/3/2022,7/12/2022,Marketing,79379,Meets
21,michael ,king ,32,Boy,5/17/1960,7/25/2023,3/13/2027,IT,103370,1
22,Lauren,Sheppard,23,Man,10/16/1922,8/19/2020,6/11/2023,IT,103820,3
23,Brooke,Foster,40,Man,11/16/2009,3/30/2021,6/1/2024,Customer Service,95097,2
24,Stephen,Oliver,62,Male,2/6/1955,5/14/2020,1/13/2022,Engineering,34105,Exceeds
25,karina ,kim ,44,Female,12-Jun-94,10/12/2022,5/18/2025,IT,35069,3
26,Stephanie,Martinez,24,Woman,8/4/1992,2/13/2022,7/27/2024,Marketing,141568,2
27,Julie, henderson,69,Boy,8/28/1943,4/30/2020,4/27/2021,IT,194702,Exceeds
28,Matthew,Jones,65,Boy,5/6/1966,1/16/2023,9/23/2026,Customer Service,153935,4
29,katie ,jones ,93,Girl,1/3/1931,8/8/2023,1/22/2026,Finance,153950,4
30,,King Smith,22,Girl,9/18/1926,11/19/2020,10/10/2024,Engineering,54866,Exceeds
31,Joshua, taylor,20,Boy,29-Nov-04,8/21/2020,2/22/2023,Operations,146611,2
32,Leah Timothy,,58,F,7/27/1975,5/16/2023,8/12/2026,Operations,144333,3
33,ashley ,Brock,22,Man,12/4/1936,9/23/2020,8/13/2022,Engineering,62101,4
34,Michael,Lopez,41,Boy,24-Aug-23,12/2/2023,7/23/2026,Marketing,166910,Outstanding
35,edward ,Dunn,63,Male,4/28/1949,12/2/2023,12/15/2025,Operations,112906,Outstanding
36,Jodi,Lamb,57,F,12/27/1959,1/20/2023,7/14/2026,Customer Service,78523,Meets
37,Robert, mcdonald,22,Male,8/9/1998,10/26/2023,2/3/2024,Finance,10296,Below
38,Jeffrey,Kim,45,Girl,7/31/1945,1/10/2022,3/13/2024,Engineering,129361,Exceeds
39,Stephanie,Francis,48,Decline to comment,24-Feb-76,9/17/2022,1/16/2025,Finance,177965,4
40,Alexis, parker,57,Female,7/22/1967,4/23/2021,4/17/2025,Marketing,127234,3
41,,Wells Ross,52,Man,NULL,8/25/2023,1/14/2025,Operations,194386,Meets
42, Michele,Mills,30,M,7/28/1937,10/31/2021,5/28/2024,Finance,189561,Outstanding
43,Anna,Smith,32,Girl,2/9/1979,11/23/2021,4/22/2024,IT,96436,Meets
44,Curtis,bell ,20,M,8/20/1939,2/9/2020,1/14/2023,Sales,191826,Below
45,Jeffrey,Mccoy,42,Woman,9-Oct-40,12/2/2023,3/1/2026,Customer Service,121092,4
46,Courtney,Johnston,58,Woman,2/9/1924,9/27/2020,6/4/2022,Finance,4117,Needs Improvement
47,Sara,Mendez,50,Woman,10-Nov-74,10/22/2023,7/2/2027,H,7780,Outstanding
48,mercedes ,Henry,46,F,1-Jun-67,8/18/2021,5/9/2022,Marketing,183038,3
49,Diane,Chandler,22,Decline to comment,2/18/2002,7/19/2021,12/3/2024,Customer Service,50006,Outstanding
50,Megan,Peters,24,Man,10/5/1973,5/2/2021,5/1/2025,Operations,199538,Exceeds
51, Cory,tucker ,55,Male,30-May-52,11/25/2021,6/7/2024,HR,88393,Outstanding
52,Brian,Olson,18,Woman,13-Apr-16,5/15/2020,3/15/2022,Sales,96461,1
53,Jackie,Peterson,40,Decline to comment,26-Apr-23,12/2/2023,12/24/2027,HR,103223,Outstanding
54,David,Fitzpatrick,65,N/A,NULL,8/11/2021,4/19/2025,Marketing,182878,1
55,Brandon,Macdonald,89,Male,10/31/1935,6/19/2023,1/7/2026,Operations,176106,2
56,Joseph,Thompson,47,Female,6/14/2015,8/2/2023,11/27/2025,Sales,149314,Outstanding
57,Victoria Matthew,,39,Woman,6/3/1948,6/22/2020,4/17/2024,Operations,51645,3
58,james ,Martinez,41,M,NULL,8/29/2023,4/21/2027,Finance,128529,Below
59,Andrew,Gonzalez,25,F,8/23/1962,3/30/2023,3/4/2024,Marketing,43072,Meets
60,Leon,horton ,22,N/A,5-Nov-15,7/17/2020,5/11/2022,IT,100105,3
61,Jesus,Wood,36,Boy,2/28/1989,6/1/2021,11/3/2022,IT,86347,Exceeds
62,wendy ,Ramirez,21,Boy,4/18/1931,11/15/2020,2/12/2022,Sales,15392,4
